# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 22:00:37 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
14,9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,,0,1,0,0,1.763587535,4.2000000e-08,-4.2000000e-08,120.5659254,1.990000e-05,-1.990000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.971190,46.868359,9.958
15,7684873,K00014.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,2.947376671,3.2280000e-06,-3.2280000e-06,171.5229780,8.830000e-04,-8.830000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.611940,43.305141,10.470
16,3964562,K00015.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,3.012476582,1.1610000e-06,-1.1610000e-06,135.2592710,2.980000e-04,-2.980000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.143400,39.089779,12.403
17,9110357,K00016.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,0.895277575,5.0700000e-07,-5.0700000e-07,133.4119860,5.040000e-04,-5.040000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.344210,45.409920,13.574
18,10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.234699282,1.1900000e-07,-1.1900000e-07,121.4865708,2.920000e-05,-2.920000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.837250,48.239944,13.303
19,8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,,0,1,0,0,3.548465446,1.8300000e-07,-1.8300000e-07,122.9014315,4.260000e-05,-4.260000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,299.407010,44.035053,13.369
20,7255336,K00019.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,1.203200920,2.9600000e-07,-2.9600000e-07,133.9298360,2.040000e-04,-2.040000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,280.943850,42.839184,11.374
21,11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.437962934,1.7100000e-07,-1.7100000e-07,171.0091259,2.880000e-05,-2.880000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.243440,50.040379,13.438
22,10125352,K00021.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,4.288515468,1.0740000e-06,-1.0740000e-06,121.9726800,2.120000e-04,-2.120000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,284.738590,47.169628,13.396
23,9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,,0,0,0,0,7.891448838,5.0600000e-07,-5.0600000e-07,177.2499624,5.030000e-05,-5.030000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,282.629670,46.323360,13.435
24,9071386,K00023.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,4.693305543,3.8400000e-07,-3.8400000e-07,136.8627229,6.620000e-05,-6.620000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.166320,45.403061,12.291
25,4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,2.086075752,1.3920000e-06,-1.3920000e-06,170.9656270,5.750000e-04,-5.750000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,290.815400,39.819469,12.963
26,10593759,K00025.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,3.132604547,1.4810000e-06,-1.4810000e-06,136.0104540,3.940000e-04,-3.940000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.261660,47.815521,13.499
27,5021737,K00026.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,15.039463260,1.1120000e-05,-1.1120000e-05,144.1374610,6.060000e-04,-6.060000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.732820,40.150341,11.997
28,3832716,K00027.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,1.141877248,6.6000000e-08,-6.6000000e-08,170.3386848,4.620000e-05,-4.620000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.394040,38.904911,13.418
29,4247791,K00028.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,4.100870416,3.6100000e-07,-3.6100000e-07,168.1460533,7.020000e-05,-7.020000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.164860,39.376942,11.260
30,6956014,K00031.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,0.925589891,3.6530000e-06,-3.6530000e-06,169.6927500,3.190000e-03,-3.190000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.031800,42.468845,10.795
31,5725087,K00033.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,0.366197145,1.0250000e-06,-1.0250000e-06,133.5596900,2.270000e-03,-2.270000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.967900,40.926769,11.059
32,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,,0,0,0,0,12.815904210,1.9450000e-05,-1.9450000e-05,122.9468200,1.190000e-03,-1.190000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.385990,41.990269,11.197
33,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,,0,0,0,0,6.887070730,2.2770000e-05,-2.2770000e-05,133.1779700,2.680000e-03,-2.680000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.385990,41.990269,11.197
34,6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE,,0,0,0,0,35.333193200,2.2480000e-04,-2.2480000e-04,153.9824900,4.890000e-03,-4.890000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.385990,41.990269,11.197
35,8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE,,0,0,0,0,17.833678340,1.3850000e-05,-1.3850000e-05,181.2339430,6.030000e-04,-6.030000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.150700,45.139832,9.364
36,9025922,K00043.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,11.320295990,1.7180000e-05,-1.7180000e-05,177.0838800,1.270000e-03,-1.270000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,293.266050,45.350697,13.290
37,8845026,K00044.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,66.467462170,3.0030000e-05,-3.0030000e-05,160.4765100,3.580000e-04,-3.580000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,300.151860,45.089611,13.483
38,3742855,K00045.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,6.397185875,2.7900000e-06,-2.7900000e-06,174.3653530,3.250000e-04,-3.250000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,290.266140,38.837917,13.133
39,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.487688776,1.1050000e-06,-1.1050000e-06,170.9322170,2.530000e-04,-2.530000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.255490,48.355232,13.770
40,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,,0,0,0,0,6.029772410,6.2640000e-05,-6.2640000e-05,132.4816200,7.570000e-03,-7.570000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.255490,48.355232,13.770
41,7837302,K00048.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,23.836808884,1.5070000e-06,-1.5070000e-06,173.7759431,4.980000e-05,-4.980000e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.553860,43.543179,13.722
42,9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE,,0,0,0,0,8.313773040,4.2060000e-05,-4.2060000e-05,175.9913700,4.020000e-03,-4.020000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.249020,46.164822,13.704
43,6056992,K00051.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,10.431146765,3.2670000e-06,-3.2670000e-06,133.9363370,2.640000e-04,-2.640000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.918850,41.332432,13.761
44,3558981,K00052.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,2.987862720,2.3060000e-06,-2.3060000e-06,168.0112330,6.180000e-04,-6.180000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.977450,38.678352,13.109
45,2445975,K00053.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,3.388887193,1.6810000e-06,-1.6810000e-06,172.2590540,3.920000e-04,-3.920000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.030910,37.773529,13.513
46,8248939,K00061.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,1.633454020,2.8820000e-05,-2.8820000e-05,181.8556000,1.320000e-02,-1.320000e-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.935940,44.161045,12.179
47,11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,,0,0,0,0,9.434141710,2.1360000e-05,-2.1360000e-05,177.8434600,1.770000e-03,-1.770000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.226170,49.548199,11.582
48,7051180,K00064.01,,CANDIDATE,CANDIDATE,,0,0,0,0,1.951082219,3.8880000e-06,-3.8880000e-06,157.5431600,1.590000e-03,-1.590000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,296.510590,42.547440,13.143
49,10223615,K00065.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,27.254719930,,,176.5294900,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.390660,47.223869,11.679
50,10620329,K00066.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,0.436282594,8.8000000e-08,-8.8000000e-08,170.7020410,1.560000e-04,-1.560000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.709230,47.840019,11.002
51,8669092,K00068.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,1.000840564,6.4400000e-07,-6.4400000e-07,121.2937710,5.610000e-04,-5.610000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.893070,44.827461,12.733
52,3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.726740370,1.5700000e-06,-1.5700000e-06,134.9263960,2.710000e-04,-2.710000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.418300,38.672359,9.931
53,6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,,0,0,0,0,10.854095934,4.9770000e-06,-4.9770000e-06,138.6080310,3.780000e-04,-3.780000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.698000,42.338718,12.498
54,6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.696121272,2.3940000e-06,-2.3940000e-06,134.5014000,5.400000e-04,-5.400000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.698000,42.338718,12.498
55,6850504,K00070.03,Kepler-20 d,CONFIRMED,CANDIDATE,,0,0,0,0,77.611442700,1.5360000e-04,-1.5360000e-04,164.7292000,1.680000e-03,-1.680000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.698000,42.338718,12.498
56,6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE,,0,0,0,0,6.098556030,2.5360000e-05,-2.5360000e-05,135.9290600,3.770000e-03,-3.770000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.698000,42.338718,12.498
57,6850504,K00070.05,Kepler-20 f,CONFIRMED,CANDIDATE,,0,0,0,0,19.577607300,1.4270000e-04,-1.4270000e-04,135.2032000,5.970000e-03,-5.970000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.698000,42.338718,12.498
58,11904151,K00072.01,Kepler-10 b,CONFIRMED,CANDIDATE,,0,0,0,0,0.837491225,3.0300000e-07,-3.0300000e-07,131.5748580,2.820000e-04,-2.820000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.679380,50.241299,10.961
59,11904151,K00072.02,Kepler-10 c,CONFIRMED,CANDIDATE,,0,0,0,0,45.294222970,5.6000000e-05,-5.6000000e-05,138.6787250,9.870000e-04,-9.870000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.679380,50.241299,10.961
60,6889235,K00074.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,5.188671659,2.1880000e-06,-2.1880000e-06,125.8793880,3.530000e-04,-3.530000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.324250,42.388470,10.960
61,7199397,K00075.01,,CANDIDATE,CANDIDATE,,0,0,0,0,105.881766700,1.3120000e-04,-1.3120000e-04,156.9793500,1.010000e-03,-1.010000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,291.497220,42.728481,10.775
62,9955262,K00076.01,,CANDIDATE,CANDIDATE,,0,0,0,0,77.479470400,2.4560000e-04,-2.4560000e-04,154.7073400,2.300000e-03,-2.300000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,293.541990,46.822140,10.143
63,9552608,K00080.01,,CANDIDATE,CANDIDATE,,0,0,0,0,9.250572762,2.8970000e-06,-2.8970000e-06,135.4075310,2.590000e-04,-2.590000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,300.537570,46.104340,11.310
64,8823868,K00081.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,23.876114400,2.2390000e-05,-2.2390000e-05,143.0700600,7.730000e-04,-7.730000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,293.785740,45.018490,11.409
65,10187017,K00082.01,Kepler-102 e,CONFIRMED,CANDIDATE,,0,0,0,0,16.145671932,7.4400000e-06,-7.4400000e-06,134.7548770,3.940000e-04,-3.940000e-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.482730,47.208031,11.492
66,10187017,K00082.02,Kepler-102 d,CONFIRMED,CANDIDATE,,0,0,0,0,10.311747860,1.2260000e-05,-1.2260000e-05,134.0799100,1.000000e-03,-1.000000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.482730,47.208031,11.492
67,10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE,,0,0,0,0,27.453614600,1.0770000e-04,-1.0770000e-04,145.0286600,3.450000e-03,-3.450000e-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,281.482730,47.208031,11.492
